survey_id,site_name,region,latitude,longitude,survey_date,transect_number,depth_m,transect_length_m,coral_cover_percent,algae_cover_percent,sand_cover_percent,rubble_cover_percent,coral_species_count,fish_species_count,total_fish_count,bleaching_severity,bleached_colonies_percent,water_temperature_c,visibility_m,current_strength,weather_conditions,surveyor,data_source
REEF0001,Lakshadweep - Bangaram,Lakshadweep,10.893449,72.302026,2025-05-31,1,18.7,30,54.3,18.5,13.4,13.8,14,22,190,None,0.0,31.1,25.0,Weak,Calm,Research Diver,Coral Reef Survey
REEF0002,Lakshadweep - Bangaram,Lakshadweep,10.891293,72.302423,2025-05-31,2,8.2,10,65.1,28.9,0.0,6.0,14,17,201,None,0.0,27.7,13.2,Moderate,Calm,Coral Specialist,Coral Reef Survey
REEF0003,Lakshadweep - Bangaram,Lakshadweep,10.90065,72.292285,2025-05-31,3,15.1,20,40.1,13.1,42.4,4.4,10,31,191,None,0.0,30.4,15.7,Moderate,Rough,Reef Survey Team,Coral Reef Survey
REEF0004,Lakshadweep - Bangaram,Lakshadweep,10.891857,72.300336,2025-05-14,1,7.7,20,64.1,25.9,0.0,10.0,11,35,226,None,0.0,29.2,28.4,Weak,Calm,Research Diver,Coral Reef Survey
REEF0005,Lakshadweep - Bangaram,Lakshadweep,10.908638,72.300254,2025-05-14,2,9.7,10,60.7,9.7,16.9,12.7,9,28,162,None,0.0,26.6,12.3,Strong,Choppy,Coral Specialist,Coral Reef Survey
REEF0006,Lakshadweep - Bangaram,Lakshadweep,10.899593,72.307752,2025-05-14,3,15.5,20,70.7,13.5,4.4,11.4,13,26,169,None,0.0,30.0,9.1,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0007,Lakshadweep - Bangaram,Lakshadweep,10.899866,72.29592,2025-05-14,4,10.2,30,83.2,9.6,1.0,6.2,15,24,123,None,0.0,31.2,17.2,Strong,Calm,Coral Specialist,Coral Reef Survey
REEF0008,Lakshadweep - Bangaram,Lakshadweep,10.904877,72.307127,2025-05-14,5,9.8,20,57.7,13.9,11.8,16.7,13,16,289,Mild,15.8,30.1,20.4,Weak,Rough,Marine Biologist A,Coral Reef Survey
REEF0009,Lakshadweep - Bangaram,Lakshadweep,10.898726,72.300799,2025-05-14,6,7.3,20,59.4,17.5,5.1,18.0,10,18,269,Mild,35.4,29.9,8.4,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0010,Lakshadweep - Bangaram,Lakshadweep,10.904493,72.290711,2024-04-23,1,24.9,10,79.3,12.4,3.1,5.1,13,29,200,None,0.0,28.1,16.2,Weak,Rough,Reef Survey Team,Coral Reef Survey
REEF0011,Lakshadweep - Bangaram,Lakshadweep,10.896366,72.302423,2024-04-23,2,6.6,30,78.1,25.3,0.0,0.0,15,21,219,None,0.0,27.5,8.4,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0012,Lakshadweep - Bangaram,Lakshadweep,10.902384,72.299158,2024-04-23,3,15.5,10,80.5,29.2,0.0,0.0,12,15,176,None,0.0,26.5,11.5,Weak,Calm,Research Diver,Coral Reef Survey
REEF0013,Lakshadweep - Bangaram,Lakshadweep,10.904664,72.298627,2024-04-23,4,12.8,30,53.9,20.2,22.2,3.7,8,21,282,None,0.0,27.0,9.4,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0014,Lakshadweep - Bangaram,Lakshadweep,10.896607,72.294623,2024-04-23,5,22.6,30,42.5,9.4,37.1,11.0,13,17,179,None,0.0,26.3,8.2,Weak,Calm,Research Diver,Coral Reef Survey
REEF0015,Lakshadweep - Bangaram,Lakshadweep,10.909761,72.303177,2025-01-30,1,11.0,10,61.2,11.7,20.3,6.9,13,27,210,None,0.0,31.3,12.1,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0016,Lakshadweep - Bangaram,Lakshadweep,10.906807,72.292431,2025-01-30,2,7.7,50,41.7,8.5,31.5,18.3,8,20,130,None,0.0,26.5,29.1,Weak,Calm,Research Diver,Coral Reef Survey
REEF0017,Lakshadweep - Bangaram,Lakshadweep,10.90758,72.305094,2025-01-30,3,23.5,50,49.9,25.9,10.4,13.8,10,25,205,None,0.0,30.8,15.6,Weak,Choppy,Research Diver,Coral Reef Survey
REEF0018,Lakshadweep - Bangaram,Lakshadweep,10.905488,72.295249,2025-01-30,4,10.2,30,44.9,28.4,20.9,5.8,11,26,240,None,0.0,28.3,29.1,Strong,Choppy,Marine Biologist A,Coral Reef Survey
REEF0019,Lakshadweep - Bangaram,Lakshadweep,10.896701,72.305571,2024-09-20,1,21.8,30,59.6,14.5,11.0,15.0,11,15,222,None,0.0,30.5,13.0,Weak,Choppy,Coral Specialist,Coral Reef Survey
REEF0020,Lakshadweep - Bangaram,Lakshadweep,10.907766,72.297752,2024-09-20,2,15.7,50,77.4,9.7,0.0,12.9,11,19,102,None,0.0,31.4,11.8,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0021,Lakshadweep - Bangaram,Lakshadweep,10.898414,72.306657,2024-09-20,3,3.4,30,45.0,29.8,19.6,5.6,15,28,159,None,0.0,27.1,15.9,Strong,Calm,Reef Survey Team,Coral Reef Survey
REEF0022,Lakshadweep - Bangaram,Lakshadweep,10.905057,72.303156,2024-09-20,4,15.8,20,63.8,26.1,5.4,4.7,10,35,115,None,0.0,26.9,21.1,Moderate,Rough,Reef Survey Team,Coral Reef Survey
REEF0023,Lakshadweep - Bangaram,Lakshadweep,10.895011,72.296677,2024-09-20,5,13.4,20,41.2,7.3,37.8,13.7,10,28,277,None,0.0,31.2,23.3,Moderate,Calm,Marine Biologist A,Coral Reef Survey
REEF0024,Lakshadweep - Bangaram,Lakshadweep,10.890162,72.302334,2024-09-20,6,5.1,20,75.1,29.8,0.0,0.0,8,20,161,None,0.0,27.4,17.6,Moderate,Choppy,Coral Specialist,Coral Reef Survey
REEF0025,Lakshadweep - Bangaram,Lakshadweep,10.907122,72.293348,2024-11-06,1,8.8,30,60.0,22.8,9.6,7.5,10,35,269,None,0.0,26.6,16.2,Weak,Calm,Reef Survey Team,Coral Reef Survey
REEF0026,Lakshadweep - Bangaram,Lakshadweep,10.904179,72.29452,2024-11-06,2,17.4,30,47.4,6.4,43.8,2.4,11,20,86,None,0.0,29.3,25.5,Strong,Calm,Reef Survey Team,Coral Reef Survey
REEF0027,Lakshadweep - Bangaram,Lakshadweep,10.896653,72.301853,2024-11-06,3,13.9,50,82.6,23.7,0.0,0.0,10,15,171,Mild,24.2,28.8,28.4,Strong,Rough,Coral Specialist,Coral Reef Survey
REEF0028,Lakshadweep - Bangaram,Lakshadweep,10.895147,72.295397,2024-11-06,4,12.0,20,51.0,8.2,23.7,17.1,14,35,175,None,0.0,31.2,26.3,Moderate,Choppy,Reef Survey Team,Coral Reef Survey
REEF0029,Lakshadweep - Bangaram,Lakshadweep,10.895641,72.300955,2024-11-06,5,4.8,20,81.2,15.1,0.0,3.7,8,20,129,None,0.0,28.8,13.5,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0030,Lakshadweep - Bangaram,Lakshadweep,10.897497,72.305999,2024-11-06,6,21.4,20,53.7,16.7,12.1,17.5,11,28,136,Severe,36.1,27.3,22.9,Weak,Calm,Coral Specialist,Coral Reef Survey
REEF0031,Lakshadweep - Bangaram,Lakshadweep,10.901651,72.301059,2025-05-16,1,21.9,50,44.6,13.7,31.0,10.8,14,29,143,None,0.0,27.3,25.7,Weak,Rough,Coral Specialist,Coral Reef Survey
REEF0032,Lakshadweep - Bangaram,Lakshadweep,10.897993,72.293778,2025-05-16,2,19.7,10,44.1,17.9,36.8,1.3,9,25,180,None,0.0,29.6,20.2,Moderate,Choppy,Marine Biologist A,Coral Reef Survey
REEF0033,Lakshadweep - Bangaram,Lakshadweep,10.898093,72.298581,2025-05-16,3,8.0,50,60.5,28.8,0.0,10.7,8,22,212,Severe,6.0,31.6,19.6,Strong,Choppy,Marine Biologist A,Coral Reef Survey
REEF0034,Lakshadweep - Bangaram,Lakshadweep,10.900757,72.305614,2025-05-16,4,9.9,50,61.7,29.2,0.0,9.1,12,21,154,Moderate,9.7,27.2,24.9,Moderate,Choppy,Reef Survey Team,Coral Reef Survey
REEF0035,Lakshadweep - Bangaram,Lakshadweep,10.895908,72.290428,2025-05-16,5,23.8,10,47.6,5.2,42.4,4.7,10,28,155,Severe,19.8,31.5,27.3,Moderate,Rough,Coral Specialist,Coral Reef Survey
REEF0036,Lakshadweep - Bangaram,Lakshadweep,10.899138,72.298218,2024-04-02,1,15.2,20,51.0,6.3,24.0,18.8,14,20,279,Severe,11.9,28.8,18.8,Moderate,Choppy,Coral Specialist,Coral Reef Survey
REEF0037,Lakshadweep - Bangaram,Lakshadweep,10.890369,72.292959,2024-04-02,2,11.3,50,70.8,10.7,10.1,8.5,11,15,125,None,0.0,31.3,15.2,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0038,Lakshadweep - Bangaram,Lakshadweep,10.892671,72.299785,2024-04-02,3,19.4,20,44.9,15.6,39.1,0.4,9,25,257,Severe,21.9,27.8,26.6,Weak,Calm,Coral Specialist,Coral Reef Survey
REEF0039,Lakshadweep - Bangaram,Lakshadweep,10.902043,72.299079,2025-01-06,1,12.0,50,62.4,6.0,13.8,17.9,10,31,261,None,0.0,27.1,10.6,Moderate,Rough,Coral Specialist,Coral Reef Survey
REEF0040,Lakshadweep - Bangaram,Lakshadweep,10.892872,72.303221,2025-01-06,2,17.6,20,78.2,23.8,0.0,0.0,13,16,276,None,0.0,30.1,19.3,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0041,Lakshadweep - Bangaram,Lakshadweep,10.899513,72.302902,2025-01-06,3,15.3,20,69.0,20.3,0.0,10.7,8,20,117,None,0.0,29.1,23.0,Moderate,Choppy,Research Diver,Coral Reef Survey
REEF0042,Lakshadweep - Bangaram,Lakshadweep,10.89899,72.294833,2025-04-01,1,3.0,10,65.2,19.8,0.0,15.0,10,35,126,None,0.0,28.4,12.4,Weak,Calm,Research Diver,Coral Reef Survey
REEF0043,Lakshadweep - Bangaram,Lakshadweep,10.891411,72.305456,2025-04-01,2,8.5,50,67.4,22.2,1.0,9.4,15,15,197,None,0.0,28.7,14.3,Strong,Calm,Coral Specialist,Coral Reef Survey
REEF0044,Lakshadweep - Bangaram,Lakshadweep,10.90792,72.307231,2025-04-01,3,6.6,50,41.2,7.2,45.9,5.7,15,22,135,None,0.0,29.4,16.2,Moderate,Choppy,Marine Biologist A,Coral Reef Survey
REEF0045,Lakshadweep - Bangaram,Lakshadweep,10.907774,72.299063,2025-04-01,4,9.9,10,82.4,26.2,0.0,0.0,11,34,233,None,0.0,30.7,11.9,Strong,Choppy,Reef Survey Team,Coral Reef Survey
REEF0046,Lakshadweep - Bangaram,Lakshadweep,10.901464,72.309677,2025-04-01,5,9.4,20,75.7,17.3,6.2,0.8,8,16,127,None,0.0,27.0,21.9,Strong,Choppy,Marine Biologist A,Coral Reef Survey
REEF0047,Lakshadweep - Bangaram,Lakshadweep,10.891713,72.308937,2024-05-28,1,9.4,30,50.2,8.2,22.7,18.9,13,33,294,None,0.0,30.4,19.0,Weak,Calm,Marine Biologist A,Coral Reef Survey
REEF0048,Lakshadweep - Bangaram,Lakshadweep,10.899495,72.2922,2024-05-28,2,15.3,20,51.1,29.4,3.5,15.9,12,28,125,None,0.0,26.9,25.3,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0049,Lakshadweep - Bangaram,Lakshadweep,10.892441,72.293787,2024-05-28,3,7.7,30,65.1,24.7,4.0,6.3,8,29,271,Severe,21.3,30.5,12.9,Weak,Choppy,Research Diver,Coral Reef Survey
REEF0050,Lakshadweep - Bangaram,Lakshadweep,10.894398,72.308945,2025-01-12,1,24.0,10,84.6,25.2,0.0,0.0,12,17,274,Moderate,16.9,27.9,29.0,Moderate,Calm,Marine Biologist A,Coral Reef Survey
REEF0051,Lakshadweep - Bangaram,Lakshadweep,10.905781,72.30448,2025-01-12,2,7.1,50,80.9,25.7,0.0,0.0,11,23,164,None,0.0,27.6,9.8,Strong,Calm,Marine Biologist A,Coral Reef Survey
REEF0052,Lakshadweep - Bangaram,Lakshadweep,10.903136,72.303076,2025-01-12,3,5.1,10,54.3,29.8,2.3,13.6,15,18,226,None,0.0,27.3,9.7,Strong,Rough,Research Diver,Coral Reef Survey
REEF0053,Lakshadweep - Bangaram,Lakshadweep,10.895538,72.294978,2025-01-12,4,8.2,30,48.7,19.4,25.4,6.6,12,28,235,None,0.0,27.1,18.2,Strong,Rough,Research Diver,Coral Reef Survey
REEF0054,Lakshadweep - Bangaram,Lakshadweep,10.890273,72.299634,2025-01-12,5,4.2,50,84.0,24.8,0.0,0.0,15,19,237,Severe,25.7,30.6,12.2,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0055,Lakshadweep - Bangaram,Lakshadweep,10.901364,72.306284,2025-01-12,6,19.9,10,76.1,27.0,0.0,0.0,9,24,129,None,0.0,29.4,25.4,Weak,Choppy,Marine Biologist A,Coral Reef Survey
REEF0056,Lakshadweep - Kavaratti,Lakshadweep,10.603943,72.60991,2025-02-28,1,3.3,20,56.0,12.0,26.7,5.2,8,16,165,Moderate,29.8,26.5,24.3,Strong,Calm,Research Diver,Coral Reef Survey
REEF0057,Lakshadweep - Kavaratti,Lakshadweep,10.603869,72.595016,2025-02-28,2,8.6,10,68.3,24.1,0.0,7.6,12,23,282,None,0.0,31.8,20.8,Moderate,Rough,Research Diver,Coral Reef Survey
REEF0058,Lakshadweep - Kavaratti,Lakshadweep,10.608173,72.60617,2025-02-28,3,22.7,30,40.5,29.1,20.9,9.5,13,15,109,None,0.0,26.8,16.7,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0059,Lakshadweep - Kavaratti,Lakshadweep,10.595429,72.595833,2025-02-28,4,5.7,30,76.3,5.2,12.3,6.3,15,20,129,Moderate,25.6,27.5,13.7,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0060,Lakshadweep - Kavaratti,Lakshadweep,10.599767,72.603054,2025-02-28,5,5.7,50,47.9,11.2,21.4,19.5,13,30,119,None,0.0,29.6,13.3,Moderate,Choppy,Marine Biologist A,Coral Reef Survey
REEF0061,Lakshadweep - Kavaratti,Lakshadweep,10.599809,72.591482,2025-02-28,6,3.8,30,61.1,15.0,21.2,2.7,8,31,156,None,0.0,32.0,16.7,Weak,Rough,Research Diver,Coral Reef Survey
REEF0062,Lakshadweep - Kavaratti,Lakshadweep,10.602491,72.60926,2024-12-28,1,21.3,10,60.9,23.4,13.1,2.6,13,19,151,None,0.0,27.7,11.5,Moderate,Rough,Reef Survey Team,Coral Reef Survey
REEF0063,Lakshadweep - Kavaratti,Lakshadweep,10.598526,72.59262,2024-12-28,2,18.4,20,60.5,18.3,18.3,2.9,9,33,235,Moderate,25.4,31.9,10.1,Moderate,Rough,Research Diver,Coral Reef Survey
REEF0064,Lakshadweep - Kavaratti,Lakshadweep,10.595715,72.607389,2024-12-28,3,4.6,50,79.4,18.1,0.0,2.5,9,16,149,None,0.0,27.8,14.7,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0065,Lakshadweep - Kavaratti,Lakshadweep,10.607696,72.604476,2025-04-07,1,17.7,30,75.9,11.4,0.3,12.4,10,21,214,None,0.0,30.7,14.8,Weak,Choppy,Marine Biologist A,Coral Reef Survey
REEF0066,Lakshadweep - Kavaratti,Lakshadweep,10.602864,72.607644,2025-04-07,2,11.8,50,43.0,17.9,32.2,6.9,8,21,103,None,0.0,31.7,18.7,Moderate,Rough,Reef Survey Team,Coral Reef Survey
REEF0067,Lakshadweep - Kavaratti,Lakshadweep,10.599324,72.603092,2025-04-07,3,5.3,30,51.4,28.0,7.2,13.4,13,21,167,Moderate,12.2,30.1,24.8,Weak,Calm,Reef Survey Team,Coral Reef Survey
REEF0068,Lakshadweep - Kavaratti,Lakshadweep,10.606797,72.595844,2025-04-07,4,23.5,50,64.9,22.4,0.8,11.9,14,21,265,Mild,38.7,26.7,13.6,Strong,Rough,Marine Biologist A,Coral Reef Survey
REEF0069,Lakshadweep - Kavaratti,Lakshadweep,10.606273,72.602372,2025-04-07,5,21.4,10,63.2,14.4,3.9,18.4,13,15,159,Mild,35.0,27.4,26.7,Moderate,Calm,Marine Biologist A,Coral Reef Survey
REEF0070,Lakshadweep - Kavaratti,Lakshadweep,10.592784,72.601604,2025-06-17,1,22.5,30,61.3,23.7,0.0,15.0,11,15,227,None,0.0,31.6,17.8,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0071,Lakshadweep - Kavaratti,Lakshadweep,10.593463,72.590956,2025-06-17,2,8.4,30,46.4,18.9,30.9,3.7,15,24,150,Severe,6.3,31.0,21.0,Strong,Calm,Research Diver,Coral Reef Survey
REEF0072,Lakshadweep - Kavaratti,Lakshadweep,10.597162,72.607885,2025-06-17,3,4.5,30,84.1,20.4,0.0,0.0,9,19,120,None,0.0,30.6,17.4,Weak,Rough,Marine Biologist A,Coral Reef Survey
REEF0073,Lakshadweep - Kavaratti,Lakshadweep,10.607233,72.593015,2025-06-17,4,9.1,30,44.2,10.3,40.7,4.8,13,21,218,None,0.0,26.5,17.4,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0074,Lakshadweep - Kavaratti,Lakshadweep,10.600648,72.607974,2025-06-17,5,24.9,20,73.9,29.3,0.0,0.0,9,33,142,None,0.0,30.2,9.8,Moderate,Rough,Research Diver,Coral Reef Survey
REEF0075,Lakshadweep - Kavaratti,Lakshadweep,10.598038,72.602932,2025-07-07,1,10.7,50,52.3,19.4,9.6,18.7,8,16,113,Mild,31.9,30.3,29.2,Weak,Choppy,Marine Biologist A,Coral Reef Survey
REEF0076,Lakshadweep - Kavaratti,Lakshadweep,10.608614,72.605245,2025-07-07,2,14.4,50,49.2,18.6,16.9,15.3,10,17,189,None,0.0,30.7,12.3,Strong,Rough,Coral Specialist,Coral Reef Survey
REEF0077,Lakshadweep - Kavaratti,Lakshadweep,10.601994,72.596643,2025-07-07,3,3.2,30,49.0,7.8,26.3,16.9,11,34,171,Moderate,15.0,31.8,16.3,Strong,Rough,Marine Biologist A,Coral Reef Survey
REEF0078,Lakshadweep - Kavaratti,Lakshadweep,10.590192,72.595677,2025-07-07,4,5.6,10,44.6,6.9,36.6,11.9,15,29,225,Mild,17.6,31.2,17.3,Weak,Choppy,Research Diver,Coral Reef Survey
REEF0079,Lakshadweep - Kavaratti,Lakshadweep,10.608314,72.599959,2025-07-07,5,11.8,50,73.8,6.8,17.6,1.8,15,35,261,None,0.0,28.9,25.4,Weak,Calm,Reef Survey Team,Coral Reef Survey
REEF0080,Lakshadweep - Kavaratti,Lakshadweep,10.608325,72.597767,2025-07-07,6,16.1,30,62.5,29.5,0.0,7.9,14,34,146,None,0.0,27.5,25.0,Weak,Rough,Research Diver,Coral Reef Survey
REEF0081,Lakshadweep - Kavaratti,Lakshadweep,10.595309,72.594175,2024-11-28,1,23.8,10,40.9,29.1,27.0,3.0,15,30,87,None,0.0,27.7,15.7,Weak,Choppy,Coral Specialist,Coral Reef Survey
REEF0082,Lakshadweep - Kavaratti,Lakshadweep,10.594335,72.60171,2024-11-28,2,10.7,30,69.6,5.4,23.7,1.3,13,29,296,Mild,19.7,30.9,27.5,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0083,Lakshadweep - Kavaratti,Lakshadweep,10.594896,72.601487,2024-11-28,3,19.9,10,53.0,15.2,21.3,10.5,13,31,106,Moderate,5.9,26.9,21.8,Strong,Rough,Marine Biologist A,Coral Reef Survey
REEF0084,Lakshadweep - Kavaratti,Lakshadweep,10.591472,72.593794,2024-11-28,4,10.4,50,43.5,9.8,28.5,18.2,14,24,216,Moderate,27.9,28.3,22.8,Weak,Rough,Reef Survey Team,Coral Reef Survey
REEF0085,Lakshadweep - Kavaratti,Lakshadweep,10.601774,72.59447,2024-11-28,5,21.6,50,62.1,25.6,4.2,8.1,14,32,120,None,0.0,30.6,29.3,Weak,Choppy,Reef Survey Team,Coral Reef Survey
REEF0086,Lakshadweep - Kavaratti,Lakshadweep,10.600287,72.599474,2024-11-28,6,19.6,50,79.6,29.1,0.0,0.0,13,33,190,None,0.0,27.3,20.0,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0087,Lakshadweep - Kavaratti,Lakshadweep,10.593597,72.596948,2024-06-26,1,23.5,10,46.6,20.8,20.8,11.9,15,33,294,Moderate,16.4,29.4,12.1,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0088,Lakshadweep - Kavaratti,Lakshadweep,10.606012,72.609443,2024-06-26,2,7.7,50,48.4,16.4,20.3,15.0,9,29,125,Moderate,5.7,29.2,29.0,Strong,Calm,Coral Specialist,Coral Reef Survey
REEF0089,Lakshadweep - Kavaratti,Lakshadweep,10.597826,72.598403,2024-06-26,3,24.3,10,71.3,23.0,0.0,5.8,9,25,206,None,0.0,30.1,27.7,Weak,Calm,Marine Biologist A,Coral Reef Survey
REEF0090,Lakshadweep - Kavaratti,Lakshadweep,10.603988,72.604702,2024-05-30,1,9.4,30,53.7,24.6,15.8,5.9,14,29,216,None,0.0,27.5,26.0,Strong,Rough,Coral Specialist,Coral Reef Survey
REEF0091,Lakshadweep - Kavaratti,Lakshadweep,10.59221,72.606589,2024-05-30,2,16.3,30,48.4,18.6,27.4,5.6,12,21,132,None,0.0,28.1,9.4,Strong,Rough,Research Diver,Coral Reef Survey
