latitude,longitude,region,depth_m,temperature_c,salinity_psu,ph_level,dissolved_oxygen_ml_l,nitrate_mg_l,phosphate_mg_l,chlorophyll_a_mg_m3,turbidity_ntu,recorded_at,location_name,data_source,quality_flag
15.123,73.543,Arabian Sea,15,28.1,35.4,8.16,5.8,0.12,0.025,0.45,1.2,2024-08-01T11:32:00,Mumbai Coastal Waters,CMLRE,good
9.933,76.266,Bay of Bengal,5,29.3,33.8,8.05,6.2,0.18,0.032,0.62,2.1,2024-08-05T09:01:00,Kochi Backwaters,NIOT,good
11.456,75.234,Arabian Sea,25,27.8,35.2,8.12,5.6,0.15,0.028,0.38,1.5,2024-07-28T14:22:00,Mangalore Coast,INCOIS,good
13.789,80.123,Bay of Bengal,12,30.1,34.2,7.98,5.9,0.21,0.038,0.71,2.8,2024-08-10T16:45:00,Chennai Nearshore,NIOT,good
8.567,77.891,Arabian Sea,35,26.9,35.6,8.18,5.4,0.09,0.022,0.29,1.1,2024-07-25T08:15:00,Trivandrum Deep Waters,CMLRE,good
12.345,79.567,Bay of Bengal,8,31.2,33.1,7.89,6.1,0.24,0.041,0.83,3.2,2024-08-08T12:30:00,Pondicherry Coast,INCOIS,good
14.678,74.321,Arabian Sea,45,25.6,36.1,8.21,5.1,0.08,0.019,0.18,0.9,2024-07-22T10:18:00,Goa Offshore,CMLRE,good
10.234,78.456,Bay of Bengal,18,28.9,34.5,8.02,5.7,0.16,0.029,0.54,1.8,2024-08-03T13:42:00,Thanjavur Delta,NIOT,good
16.123,73.789,Arabian Sea,55,24.8,36.4,8.25,4.9,0.06,0.017,0.14,0.7,2024-07-30T07:25:00,Ratnagiri Deep,INCOIS,good
7.891,79.234,Bay of Bengal,22,29.7,33.9,7.95,6.0,0.19,0.034,0.68,2.4,2024-08-12T15:10:00,Tuticorin Waters,CMLRE,good
15.456,72.123,Arabian Sea,65,23.9,36.8,8.28,4.7,0.05,0.015,0.11,0.5,2024-07-20T09:35:00,Mumbai Deep Sea,NIOT,good
11.789,80.456,Bay of Bengal,32,27.5,34.7,8.08,5.5,0.14,0.026,0.42,1.6,2024-08-06T11:28:00,Nagapattinam Coast,INCOIS,good
9.123,75.678,Arabian Sea,28,28.4,35.1,8.14,5.9,0.13,0.027,0.48,1.4,2024-07-26T14:52:00,Alappuzha Waters,CMLRE,good
13.456,81.789,Bay of Bengal,15,30.8,33.4,7.92,6.3,0.22,0.039,0.76,2.9,2024-08-09T16:20:00,Visakhapatnam Coast,NIOT,good
17.234,73.456,Arabian Sea,75,22.1,37.2,8.31,4.5,0.04,0.013,0.09,0.4,2024-07-18T06:45:00,Sindhudurg Deep,INCOIS,good